拠点ID,区市町村,名称,所在地,緯度１,経度１,緯度２,経度２,緯度３,経度３,緯度４,経度４,緯度５,経度５,緯度６,経度６,連絡先,連絡先詳細,入出庫可能時間,休業日,収容台数,一時利用/定期利用の別,一時利用部分の有料/無料の別,定期利用部分の有料/無料の別,ジャンル１,ジャンル２,備考,情報提供元
4020,新宿区,新宿御苑前駅駐輪場,"東京都新宿区新宿1-4,6,7,8先",35.68866,139.71064,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,36台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4021,新宿区,新宿三丁目駅駐輪場,"東京都新宿区新宿2-12,19先、3-2,8,9,11先",35.69172,139.70686,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,223台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐輪場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4022,新宿区,新宿三丁目駅自動二輪駐車場,東京都新宿区新宿3-1先,35.68973,139.79583,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,29台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自動二輪駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4023,新宿区,都電早稲田駅駐輪場,東京都新宿区西早稲田1-23,35.71174,139.71925,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,17台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4024,新宿区,四ツ谷駅駐輪場,東京都新宿区四谷1-5,35.68625,139.72984,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,60台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4025,新宿区,若松河田駅駐輪場Ａ,東京都新宿区河田町10-10,35.69871,139.71756,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,56台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐輪場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4026,新宿区,若松河田駅駐輪場Ｂ,東京都新宿区若松町12-6,35.69884,139.7166,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,34台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4027,新宿区,早稲田駅駐輪場,東京都新宿区戸塚町1-100、馬場下町62先,35.70626,139.72002,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,114台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4028,新宿区,早大通り自転車等駐輪場,"東京都新宿区早稲田鶴巻町517,518,538先",35.70839,139.72188,,,,,,,,,,,0120-991-674,24時間受付コールセンター（サイカパーキング）,24時間,なし,45台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4029,新宿区,高田馬場駅自転車駐輪場,東京都新宿区高田馬場2-18,35.71358,139.70485,,,,,,,,,,,0120-773-281,24時間受付コールセンター（サイカパーキング）,24時間,なし,26台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐輪場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4030,新宿区,高田馬場駅第二自転車駐輪場,東京都新宿区高田馬場2-19,35.71392,139.70396,,,,,,,,,,,0120-3566-21,24時間受付コールセンター（ＮＣＤサポートセンター）,7:00-21:00,日、祝日、年末年始,78台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐輪場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4031,新宿区,高田馬場駅第三自転車等駐輪場,東京都新宿区高田馬場1-35,35.71117,139.70341,,,,,,,,,,,0120-3566-21,24時間受付コールセンター（ＮＣＤサポートセンター）,24時間,なし,178台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4032,新宿区,高田馬場駅自転車等駐輪場②,東京都新宿区高田馬場2-19,35.71426,139.70497,,,,,,,,,,,0120-3566-21,24時間受付コールセンター（ＮＣＤサポートセンター）,24時間,なし,9台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐輪場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4033,新宿区,下落合駅自転車等駐輪場,東京都新宿区上落合1-17,35.71623,139.69343,,,,,,,,,,,0120-3566-21,24時間受付コールセンター（ＮＣＤサポートセンター）,24時間,なし,93台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4034,新宿区,中井駅北自転車等駐輪場,東京都新宿区中落合1-18,35.71587,139.6872,,,,,,,,,,,0120-3566-21,24時間受付コールセンター（ＮＣＤサポートセンター）,24時間,なし,269台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4035,新宿区,中井駅南自転車等駐輪場,東京都新宿区上落合2-20,35.71425,139.68645,,,,,,,,,,,0120-3566-21,24時間受付コールセンター（ＮＣＤサポートセンター）,24時間,なし,257台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車等駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
4036,新宿区,西早稲田駅自転車駐輪場,東京都新宿区高田馬場1-1,35.70868,139.70897,,,,,,,,,,,0120-3566-21,24時間受付コールセンター（ＮＣＤサポートセンター）,24時間,なし,68台,一時利用のみ,一定時間無料、その後有料,ー,駐輪場,自転車駐輪場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・新宿区
